train_loss,valid_loss,train_precision,valid_precision,roc_auc_train,roc_auc_valid
6.5375,4.8107,0.0106,0.0380,0.5345,0.5023
3.9781,4.2345,0.0128,0.0390,0.5758,0.5056
3.0108,3.8639,0.0126,0.0382,0.6129,0.5080
2.3440,3.5688,0.0140,0.0420,0.6486,0.5112
1.8936,3.3535,0.0138,0.0424,0.6800,0.5143
1.5748,3.1842,0.0132,0.0468,0.7072,0.5173
1.3232,3.0497,0.0132,0.0474,0.7304,0.5191
1.1246,2.8988,0.0154,0.0494,0.7559,0.5221
0.9775,2.7825,0.0152,0.0480,0.7745,0.5236
0.8551,2.7029,0.0188,0.0522,0.7934,0.5262
0.7721,2.6407,0.0190,0.0560,0.8095,0.5297
0.6879,2.5828,0.0210,0.0570,0.8216,0.5312
0.6118,2.5228,0.0220,0.0594,0.8362,0.5331
0.5680,2.4904,0.0276,0.0596,0.8466,0.5363
0.5249,2.4376,0.0276,0.0574,0.8577,0.5355
0.4776,2.4286,0.0284,0.0672,0.8677,0.5395
0.4322,2.4010,0.0278,0.0702,0.8754,0.5423
0.4168,2.3658,0.0322,0.0644,0.8820,0.5420
0.3912,2.3439,0.0332,0.0676,0.8909,0.5451
0.3611,2.3285,0.0358,0.0708,0.8973,0.5454
0.3388,2.3241,0.0362,0.0688,0.9026,0.5466
0.3263,2.2969,0.0358,0.0696,0.9100,0.5497
0.3064,2.3128,0.0418,0.0732,0.9128,0.5494
0.2897,2.2920,0.0450,0.0722,0.9187,0.5512
0.2756,2.2664,0.0466,0.0738,0.9245,0.5519
0.2517,2.2636,0.0532,0.0768,0.9287,0.5549
0.2425,2.2736,0.0574,0.0770,0.9315,0.5542
0.2261,2.2474,0.0586,0.0784,0.9364,0.5559
0.2193,2.2550,0.0634,0.0774,0.9387,0.5585
0.2093,2.2612,0.0718,0.0756,0.9386,0.5573
0.2035,2.2453,0.0718,0.0798,0.9449,0.5597
0.1860,2.2575,0.0820,0.0772,0.9466,0.5626
0.1893,2.2398,0.0858,0.0794,0.9510,0.5639
0.1744,2.2568,0.0934,0.0814,0.9519,0.5641
0.1634,2.2562,0.0960,0.0860,0.9539,0.5668
0.1602,2.2495,0.1056,0.0880,0.9559,0.5670
0.1505,2.2519,0.1134,0.0878,0.9571,0.5672
0.1488,2.2388,0.1214,0.0846,0.9596,0.5673
0.1420,2.2373,0.1236,0.0876,0.9614,0.5705
0.1380,2.2305,0.1378,0.0918,0.9637,0.5716
0.1299,2.2399,0.1398,0.0922,0.9641,0.5730
0.1237,2.2347,0.1566,0.0982,0.9656,0.5744
0.1279,2.2127,0.1592,0.0932,0.9681,0.5757
0.1239,2.2224,0.1754,0.0978,0.9683,0.5760
0.1146,2.2157,0.1830,0.0946,0.9696,0.5784
0.1101,2.2241,0.1828,0.1034,0.9704,0.5810
0.1078,2.2172,0.2012,0.0962,0.9714,0.5793
0.1055,2.2170,0.2204,0.0980,0.9722,0.5797
0.1032,2.1968,0.2292,0.1004,0.9733,0.5814
0.0970,2.2016,0.2336,0.0942,0.9743,0.5829
0.0945,2.2111,0.2456,0.0952,0.9740,0.5823
0.0912,2.1965,0.2482,0.1006,0.9751,0.5863
