train_loss,valid_loss,train_precision,valid_precision,roc_auc_train,roc_auc_valid
5.6457,4.1494,0.0112,0.0332,0.5361,0.5012
3.4278,3.8330,0.0096,0.0342,0.5775,0.5037
2.7070,3.5835,0.0102,0.0400,0.6146,0.5057
2.1949,3.3447,0.0132,0.0450,0.6513,0.5088
1.7673,3.1500,0.0162,0.0452,0.6842,0.5110
1.4564,3.0361,0.0136,0.0456,0.7132,0.5147
1.2067,2.8841,0.0134,0.0472,0.7363,0.5147
1.0451,2.7826,0.0142,0.0504,0.7615,0.5198
0.9135,2.6923,0.0168,0.0484,0.7812,0.5204
0.8106,2.6269,0.0154,0.0496,0.7991,0.5242
0.7164,2.5555,0.0174,0.0540,0.8154,0.5270
0.6440,2.4973,0.0184,0.0594,0.8310,0.5302
0.5685,2.4669,0.0216,0.0552,0.8420,0.5313
0.5323,2.4128,0.0238,0.0564,0.8560,0.5335
0.4834,2.4055,0.0276,0.0602,0.8651,0.5368
0.4474,2.3845,0.0300,0.0636,0.8708,0.5356
0.4135,2.3415,0.0290,0.0662,0.8836,0.5394
0.3895,2.3124,0.0348,0.0634,0.8892,0.5394
0.3649,2.3249,0.0320,0.0656,0.8957,0.5417
0.3383,2.3014,0.0376,0.0690,0.9049,0.5436
0.3079,2.3032,0.0374,0.0716,0.9105,0.5452
0.2918,2.2691,0.0426,0.0758,0.9153,0.5466
0.2809,2.3050,0.0498,0.0764,0.9195,0.5482
0.2668,2.2858,0.0492,0.0756,0.9235,0.5492
0.2524,2.2632,0.0528,0.0726,0.9303,0.5520
0.2315,2.2579,0.0564,0.0708,0.9335,0.5518
0.2243,2.2597,0.0582,0.0736,0.9364,0.5517
0.2117,2.2544,0.0606,0.0710,0.9406,0.5543
0.2033,2.2280,0.0700,0.0754,0.9439,0.5561
0.1927,2.2371,0.0742,0.0792,0.9469,0.5566
0.1814,2.2456,0.0804,0.0796,0.9498,0.5579
0.1783,2.2320,0.0898,0.0778,0.9520,0.5599
0.1660,2.2092,0.0910,0.0802,0.9549,0.5593
0.1621,2.2296,0.0974,0.0818,0.9568,0.5628
0.1574,2.2485,0.1080,0.0830,0.9579,0.5633
0.1451,2.2297,0.1132,0.0882,0.9606,0.5643
0.1353,2.2277,0.1210,0.0908,0.9619,0.5676
0.1409,2.2287,0.1302,0.0880,0.9625,0.5665
0.1323,2.2296,0.1396,0.0914,0.9655,0.5675
0.1190,2.2283,0.1496,0.0902,0.9667,0.5676
0.1169,2.2366,0.1480,0.0880,0.9683,0.5698
0.1153,2.2227,0.1632,0.0888,0.9688,0.5720
0.1088,2.2467,0.1828,0.0834,0.9689,0.5679
0.1054,2.2095,0.1822,0.0946,0.9718,0.5740
0.1046,2.2280,0.1880,0.0962,0.9717,0.5764
0.1013,2.2199,0.1964,0.0948,0.9739,0.5762
0.0973,2.2034,0.2146,0.0898,0.9745,0.5750
0.0977,2.2004,0.2244,0.0932,0.9751,0.5779
0.0908,2.1932,0.2312,0.0930,0.9762,0.5777
0.0902,2.2080,0.2490,0.0934,0.9757,0.5780
0.0866,2.1853,0.2598,0.0966,0.9771,0.5800
0.0834,2.1945,0.2702,0.0970,0.9781,0.5808
0.0865,2.1783,0.2810,0.1000,0.9784,0.5831
0.0876,2.1748,0.2980,0.0938,0.9779,0.5823
0.0817,2.1933,0.3012,0.0970,0.9790,0.5838
0.0779,2.1837,0.3200,0.0920,0.9791,0.5837
0.0728,2.1763,0.3228,0.0938,0.9805,0.5869
0.0729,2.1939,0.3380,0.0964,0.9798,0.5860
0.0733,2.1643,0.3546,0.0988,0.9809,0.5862
0.0691,2.2002,0.3628,0.0978,0.9810,0.5866
0.0720,2.1659,0.3726,0.1058,0.9817,0.5896
0.0677,2.1497,0.3706,0.1114,0.9827,0.5912
0.0639,2.1606,0.3820,0.1088,0.9831,0.5920
0.0670,2.1372,0.4082,0.1044,0.9839,0.5911
0.0663,2.1471,0.3892,0.1092,0.9839,0.5944
0.0587,2.1159,0.4036,0.1094,0.9844,0.5950
0.0592,2.1290,0.4272,0.1074,0.9848,0.5942
0.0621,2.1386,0.4246,0.1104,0.9843,0.5940
0.0588,2.1473,0.4260,0.1118,0.9842,0.5955
0.0594,2.1411,0.4476,0.1124,0.9848,0.5968
0.0617,2.1317,0.4666,0.1068,0.9849,0.5933
0.0586,2.1102,0.4640,0.1138,0.9858,0.5967
0.0587,2.0949,0.4760,0.1124,0.9861,0.5966
0.0559,2.1350,0.4752,0.1142,0.9852,0.5962
0.0542,2.1563,0.4846,0.1162,0.9841,0.5953
0.0575,2.1259,0.4814,0.1186,0.9853,0.5990
0.0543,2.1156,0.4918,0.1172,0.9863,0.6008
0.0562,2.1337,0.5006,0.1192,0.9854,0.5988
0.0563,2.1238,0.4992,0.1162,0.9851,0.6009
0.0546,2.1228,0.5088,0.1158,0.9856,0.6006
0.0516,2.0932,0.5154,0.1178,0.9869,0.6029
0.0553,2.0849,0.5420,0.1170,0.9875,0.6031
0.0518,2.0919,0.5270,0.1240,0.9871,0.6061
0.0525,2.0808,0.5354,0.1158,0.9870,0.6050
0.0534,2.0972,0.5462,0.1198,0.9866,0.6032
0.0550,2.0754,0.5420,0.1234,0.9867,0.6068
0.0502,2.1092,0.5608,0.1222,0.9862,0.6041
0.0527,2.0935,0.5478,0.1306,0.9865,0.6066
0.0563,2.0831,0.5800,0.1310,0.9873,0.6047
0.0485,2.0728,0.5720,0.1328,0.9873,0.6058
0.0499,2.0982,0.5718,0.1282,0.9868,0.6061
0.0458,2.0737,0.5718,0.1274,0.9880,0.6083
0.0515,2.0944,0.5722,0.1228,0.9871,0.6073
0.0491,2.0742,0.5706,0.1198,0.9875,0.6087
0.0438,2.0734,0.5728,0.1222,0.9880,0.6098
0.0475,2.0637,0.5830,0.1328,0.9886,0.6100
0.0470,2.0497,0.5962,0.1334,0.9888,0.6102
0.0484,2.0689,0.5714,0.1390,0.9874,0.6119
0.0493,2.0974,0.5572,0.1384,0.9868,0.6128
0.0480,2.0366,0.6042,0.1264,0.9891,0.6123
