train_loss,valid_loss,train_precision,valid_precision,roc_auc_train,roc_auc_valid
7.1106,5.5430,0.0080,0.0358,0.5310,0.5012
4.4574,4.6755,0.0082,0.0396,0.5710,0.5038
3.2605,4.1405,0.0104,0.0436,0.6068,0.5061
2.5550,3.7722,0.0130,0.0440,0.6407,0.5089
2.0371,3.5075,0.0134,0.0482,0.6721,0.5123
1.7022,3.2982,0.0152,0.0490,0.6997,0.5142
1.4100,3.1399,0.0128,0.0440,0.7230,0.5152
1.1938,3.0358,0.0168,0.0482,0.7443,0.5195
1.0397,2.9002,0.0160,0.0530,0.7678,0.5216
0.9192,2.7976,0.0182,0.0474,0.7841,0.5226
0.8079,2.7019,0.0180,0.0508,0.8011,0.5259
0.7437,2.6634,0.0188,0.0524,0.8140,0.5268
0.6573,2.5817,0.0194,0.0598,0.8267,0.5277
0.5964,2.5622,0.0194,0.0550,0.8393,0.5309
0.5607,2.5042,0.0230,0.0630,0.8517,0.5333
0.4977,2.4879,0.0266,0.0614,0.8602,0.5352
0.4720,2.4586,0.0256,0.0666,0.8676,0.5350
0.4358,2.4404,0.0270,0.0644,0.8758,0.5360
0.4216,2.4262,0.0292,0.0646,0.8833,0.5379
0.3857,2.4081,0.0326,0.0658,0.8896,0.5383
0.3601,2.3962,0.0302,0.0682,0.8972,0.5393
0.3508,2.3625,0.0344,0.0678,0.9031,0.5400
0.3209,2.3882,0.0388,0.0720,0.9066,0.5417
0.3055,2.3725,0.0392,0.0744,0.9124,0.5446
0.2888,2.3582,0.0448,0.0732,0.9168,0.5443
0.2729,2.3444,0.0450,0.0676,0.9217,0.5450
0.2655,2.3646,0.0520,0.0702,0.9242,0.5473
0.2459,2.3471,0.0522,0.0734,0.9294,0.5473
0.2415,2.3250,0.0550,0.0698,0.9333,0.5486
0.2291,2.3438,0.0612,0.0720,0.9357,0.5503
0.2114,2.3291,0.0654,0.0690,0.9396,0.5490
0.2074,2.3251,0.0654,0.0732,0.9423,0.5518
0.1925,2.3311,0.0690,0.0754,0.9462,0.5523
0.1836,2.3421,0.0800,0.0760,0.9480,0.5544
0.1785,2.3323,0.0854,0.0766,0.9500,0.5545
0.1693,2.3228,0.0886,0.0796,0.9528,0.5566
0.1583,2.3353,0.1012,0.0758,0.9542,0.5560
0.1594,2.3480,0.1076,0.0836,0.9551,0.5588
0.1512,2.3381,0.1126,0.0774,0.9581,0.5588
0.1451,2.3177,0.1236,0.0810,0.9610,0.5598
0.1339,2.3462,0.1296,0.0782,0.9618,0.5621
0.1318,2.3505,0.1372,0.0826,0.9628,0.5611
0.1333,2.3388,0.1486,0.0806,0.9631,0.5617
0.1241,2.3228,0.1602,0.0856,0.9654,0.5622
0.1200,2.3260,0.1650,0.0818,0.9665,0.5633
0.1108,2.3545,0.1664,0.0872,0.9661,0.5680
0.1208,2.3261,0.1828,0.0834,0.9701,0.5674
0.1092,2.3246,0.1916,0.0856,0.9711,0.5692
0.1096,2.3324,0.2000,0.0818,0.9704,0.5672
0.1076,2.3299,0.2128,0.0804,0.9717,0.5696
0.1021,2.3270,0.2272,0.0896,0.9729,0.5699
0.1052,2.3178,0.2436,0.0876,0.9730,0.5703
0.0951,2.3181,0.2526,0.0912,0.9737,0.5725
0.0948,2.3177,0.2634,0.0886,0.9753,0.5733
0.0871,2.3079,0.2706,0.0912,0.9757,0.5752
0.0925,2.3062,0.2796,0.0856,0.9766,0.5749
0.0857,2.2856,0.2856,0.0956,0.9774,0.5787
0.0836,2.2977,0.2958,0.0940,0.9781,0.5785
0.0802,2.2845,0.3054,0.0918,0.9788,0.5799
0.0805,2.2979,0.3154,0.0956,0.9785,0.5799
0.0772,2.2930,0.3262,0.0920,0.9794,0.5808
0.0757,2.2873,0.3354,0.0928,0.9793,0.5817
0.0751,2.2798,0.3378,0.0976,0.9806,0.5828
0.0722,2.2689,0.3586,0.1008,0.9812,0.5836
0.0731,2.2757,0.3632,0.1008,0.9814,0.5847
0.0692,2.2684,0.3840,0.0990,0.9815,0.5835
0.0747,2.2715,0.3888,0.1048,0.9819,0.5851
0.0700,2.2606,0.4012,0.1060,0.9820,0.5871
0.0671,2.2619,0.3962,0.1136,0.9825,0.5892
0.0690,2.2836,0.4158,0.1062,0.9817,0.5870
0.0629,2.2501,0.4210,0.1066,0.9829,0.5881
0.0610,2.2448,0.4214,0.1088,0.9836,0.5906
0.0641,2.2323,0.4416,0.1066,0.9838,0.5901
0.0661,2.2641,0.4452,0.1154,0.9835,0.5919
0.0653,2.2380,0.4572,0.1116,0.9843,0.5913
0.0626,2.2303,0.4478,0.1104,0.9844,0.5943
0.0587,2.2173,0.4764,0.1162,0.9851,0.5938
0.0615,2.2151,0.4644,0.1118,0.9848,0.5957
0.0619,2.2009,0.4836,0.1114,0.9847,0.5952
0.0590,2.2400,0.5014,0.1128,0.9849,0.5931
0.0588,2.1933,0.4894,0.1136,0.9857,0.5963
0.0580,2.2214,0.5126,0.1156,0.9850,0.5951
0.0529,2.1881,0.4880,0.1138,0.9857,0.5995
0.0552,2.2105,0.5190,0.1132,0.9849,0.5962
0.0545,2.2022,0.5090,0.1180,0.9854,0.5988
0.0543,2.1988,0.5276,0.1112,0.9859,0.5989
0.0545,2.2090,0.5442,0.1130,0.9858,0.5976
0.0548,2.1840,0.5440,0.1162,0.9860,0.5994
0.0532,2.2103,0.5394,0.1192,0.9856,0.5985
0.0573,2.1612,0.5442,0.1138,0.9873,0.6026
0.0534,2.1597,0.5656,0.1176,0.9870,0.6001
0.0534,2.1908,0.5506,0.1226,0.9864,0.6017
0.0529,2.1803,0.5302,0.1246,0.9864,0.6061
0.0526,2.1972,0.5540,0.1224,0.9859,0.6029
0.0526,2.1949,0.5596,0.1240,0.9866,0.6033
0.0550,2.1875,0.5590,0.1238,0.9865,0.6064
0.0560,2.1491,0.5892,0.1316,0.9872,0.6043
0.0518,2.1616,0.5730,0.1286,0.9868,0.6043
0.0540,2.1561,0.5792,0.1260,0.9873,0.6069
0.0498,2.1749,0.5762,0.1222,0.9867,0.6062
